Function Name,numPaths (NonLinear),additions (NonLinear),numPaths (Linear),additions (Linear)
lfread,6,6,6,5
x_close,2,2,2,2
x_cp,6,6,6,4
sleep,6,6,6,3
nulluser,4,4,4,1
sysinit,8,8,8,1
x_cat,13,13,13,2
qdump,1,1,1,1
qdumpa,1,1,1,1
x_creat,8,8,8,5
strcpy,0,0,0,0
stopclk,1,1,1,1
pinit,8,8,8,1
lfwrite,4,4,4,3
x_dg,3,3,3,1
_mkinit,1,1,1,1
mark,3,3,3,3
x_devs,2,2,2,1
getutim,5,5,5,1
x_date,2,2,2,1
lfsetup,24,24,24,1
lfclose,3,3,3,2
shell,1555,1555,1555,1
mount,32,32,32,4
naminit,1,1,1,1
nammap,2,2,2,1
ibput,2,2,2,1
inint,1,1,1,1
outint,1,1,1,1
ioinit,2,2,2,2
iosetvec,2,2,2,2
mkpool,6,6,6,2
lfsnewd,2,2,2,1
rfputc,2,2,2,2
mkarp,2,2,2,2
netdump,3,3,3,1
x_echo,3,3,3,1
namopen,2,2,2,2
lfsdfree,1,1,1,1
x_mv,3,3,3,3
x_mem,12,12,12,1
lfinit,1,1,1,1
lfseek,4,4,4,2
x_exit,1,0,1,0
ascdate,9,9,9,1
ndump,5,5,5,1
netout,2,2,2,1
ioerr,1,0,1,0
lexan,17,17,17,3
namrepl,4,4,4,2
newqueue,1,1,1,1
pcount,3,3,3,2
x_routes,4,4,4,2
nqalloc,3,3,3,2
ttyinit,1,1,1,1
ttyiin,106,106,106,11
login,5,5,5,2
echoch,3,3,3,1
x_sleep,2,2,2,2
pxdump,32,32,32,1
prdumph,1,1,1,1
prdumpa,1,1,1,1
fprintf,0,0,0,0
x_unmou,3,3,3,3
hs2net,1,1,1,1
hl2net,1,1,1,1
net2hl,1,1,1,1
vax2hl,1,1,1,1
cksum,1,1,1,1
panic,1,1,1,1
x_net,3,3,3,1
netnum,4,4,4,1
preset,2,2,2,2
psend,6,6,6,3
mprint,3,3,3,1
x_help,6,6,6,1
rarp_in,4,4,4,1
lfsflush,2,2,2,2
addarg,3,3,3,2
enqueue,1,1,1,1
x_kill,3,3,3,2
dequeue,1,1,1,1
x_rls,38,38,38,5
receive,2,2,2,1
preceive,4,4,4,3
x_uptime,109,109,109,2
open,2,2,2,2
putc,2,2,2,2
netinit,4,4,4,1
ttyread,515,515,515,7
resume,2,2,2,2
recvclr,2,2,2,1
x_rm,3,3,3,3
recvtim,5,5,5,2
arpinit,3,3,3,1
rfclose,2,2,2,2
blkcopy,2,2,2,1
rfalloc,3,3,3,2
x_ps,10,10,10,1
rfgetc,3,3,3,3
qxdump,19,19,19,1
qdumph,1,1,1,1
arpfind,17,17,17,2
rename,2,2,2,2
rfinit,2,2,2,1
x_who,2,2,2,1
_ptclear,6,6,6,1
blkequ,3,3,3,2
seek,2,2,2,2
rfdump,3,3,3,1
access,2,2,2,2
ckmode,15,15,15,6
rfmkpac,49,49,49,4
bpdump,2,2,2,1
arp_in,10,10,10,4
x_reboot,1,1,1,1
resched,9,9,9,2
udpsend,2,2,2,1
rfio,2,2,2,2
close,2,2,2,2
rfsend,9,9,9,4
netin,6,6,6,1
udpnxtp,4,4,4,1
x_bpool,2,2,2,1
strlen,0,0,0,0
route,7,7,7,2
dgwrite,5,5,5,3
printf,0,0,0,0
dgalloc,3,3,3,2
rfseek,1,1,1,1
poolinit,2,2,2,1
rwhoind,34,34,34,1
devdump,2,2,2,1
prdump,1,1,1,1
x_rf,3,3,3,1
rfwrite,4,4,4,3
newsem,5,5,5,2
screate,2,2,2,2
mdump,12,12,12,1
dgdump,3,3,3,1
